,favorite_count,followers_count,friends_count,full_text,retweet_count,length
17,0,66,61,@Zomato @ZomatoIN I'm sleeping hungry for the second time in last 4 days. Thanks &amp; Good night. #WonderWhatsWrong https://t.co/OBfwPIwehR,0,140
18,0,16,466,@zomatocare @ZomatoIN Why the hell are you not responding?,0,58
19,0,50,133,@Zomato @ZomatoIN Why does your #chatsupport doesn't call customer before cancelling the order?? How can you take our money when you haven't even delivered our food?? Is this a new way to #trick people?,0,202
21,0,50,133,@Zomato @ZomatoIN This is what you do to customers who pay for your food before arriving? You take money and food and cheat customers. #boycottzomato https://t.co/wWw9E441Uf,0,173
22,0,25,102,@zomatocare  I have been trying to reach you team from half an hour.. you deliver food late night but no support huh.?,0,118
23,0,56,333,@ZomatoIN IT HAS BEEN 1.5 HOURS !! I AM HUNGRY ITS 2 IN THE MORNING!!,0,69
27,0,2,6,@zomatocare @Anishhazra @deepigoyal Why did u ask? #trust #verify,0,65
28,0,12,83,"@ZomatoIN  I am so much disappointed in the service you guys provide. The worst I have experienced till now. I was served stale food, and I keep complaining for past 8 days and no action at all, not even an apology nothing. I even mail you guys in official complaint I'd,Nothing!",0,279
29,0,29,24,@ZomatoIN worst service geeing from zomato............😡,0,55
30,1,1197,1158,@patniks @SwiggyCares @zomatocare @swiggy_in Hats off,0,53
33,0,12,30,@zomatocare @Zomato @ZomatoIN Please provide the details of the tax charged and the reason for the difference in the price.,0,123
36,0,14,33,@zomatocare I received incomplete order 1060628528 and forget to mention it to the support then.. so now i informed it to customer support they're responding very unprofessionally saying that now they can't verify regarding the same.. you don't trust your customers?,0,266
37,5,60,104,"#Zomato #lifesaves #deliveryboy @SwiggyCares @zomatocare @swiggy_in  a delivery boy saves life's of 10 people and got hospitalised in Mumbai hospital fire,
Great job by these guy...
Get well soon https://t.co/bISTanUiQS",1,219
38,0,17,47,"Order placed at 12.34 am, expected delivery time 1.12 am and I got told about cancellation f order at 1.04 am
This is ridiculous @Zomato @ZomatoIN @zomatocare 

Order ID 1144468888
Mob no 8376866385 https://t.co/3FMQCOtX0g",0,222
39,0,2097,1623,Really getting passed off with the service of @ZomatoIN. First they cancel my order and now they are not returning the money I paid online for Order No 1617690964. They even stopped replying emails and taking calls,0,214
40,1,7442,4967,Read this thread @zomatocare And wrt my order ID...you're most welcome to the police Stn. ☺️ https://t.co/lTDKOmu6uW,1,116
42,0,25,30,@ZomatoIN  also if no excecutive is there why you have accepted this order.i want compensation of 1000 INR for this otherwise will complain against you in consumer forum..India should ban you guys from food delivery..worst service ever.. already seen one video how well you behave,0,280
43,0,3,232,"@UberEats_IND  can't you call me right away. You people are behaving like retards, trying to chat via tweets. @zomatocare  had much better social media team. Been two hours still you people are behaving super lazy.",0,214
44,0,134,1309,"Was easy to #troll poor #zomatodelivery #hungryguy right? Let's c how many fwds/posts/blogs/articles r written on this #Swiggy #Deliveryboy now for being a good #Samartian .I bet sparsley sum.@ZomatoIN
@swiggy_in 

 #goodvsperfidious
https://t.co/NDUgknWpI5",0,257
45,0,25,30,"@ZomatoIN had worst experience today in Hyderabad. Ordered from creamstone  , after 1 hour recieved a message that order is cancelled due to non availability of executives..what is this service ?? Really vexed up.wanted a compensation of 1000 INR for this. https://t.co/JHdNQPs0At",0,280
48,1,7442,4967,"You're definitely NOT getting anymore business from me or my community @Zomato @ZomatoIN @zomatocare You had it today. 

#epicfail",1,130
50,4,7442,4967,"Hey @ZomatoIN One of your delivery guys on an old Honda CD 100 bike deliberately tried to mow down one of the dogs I feed at night. Happened just now in front of me &amp; I tried to catch him, but he escaped. Dark skinned guy, green helmet, enroute from Dixit to Park Rd, VileParle(e)",4,284
51,0,0,1,@zomatocare @ZomatoIN  @deepigoyal  zomato walo ab tum log customers ka refund Bhi nhi doge or na hi usko food are agr Achi service nahi provide kar sakte hoon to band krdo Iss chutiya company ko pagal mt banao customers ko samjhe Bewakuf company,0,246
54,0,34,142,@ZomatoIN @Zomato Very disappointing service..Delivered incomplete order and charged full amount...neither received the remaining order nor return the money..both restaurant and zomato delivery boy...the customer support is very poor...just to make people fool only.,0,266
55,0,2,6,@zomatocare Any idea on giving advertised Paytm cashback for my order Order ID: 1376687745...You already have looked into this several times.,0,141
56,0,2,6,@Anishhazra @deepigoyal @zomatocare Fortunately I received a half boiled Ghee rice on my last order so it was saved. Unfortunate to watch this #OMG,0,147
57,0,2,16,"@zomatocare @ZomatoIN @Zomato I still haven't received a revert on my mail regarding the refund! Where is the customer service, Zomato.
Why do I have to run behind Zomato for requesting my own money.",0,199
58,0,201,1874,@zomatocare Sent over DM,0,24
59,0,201,1874,@zomatocare totally useless help service over the app. Anonymous replies seems to be useless with some standard protocol texts.,0,127
63,1,478,678,"@zomatocare @HardikBatra92 @PrateekTeotia2 @ZomatoIN @Zomato @Temasek @deepigoyal @iitdelhi @iitdaa @jack The Killing Fields By an Lethal Food Intake 
Kind Courtesy: Food Delivery Platforms 

A sure way to Invite Cancer ! 
Your Acidified body-  
your risk and 
your family 

The choice is yours and Yours Alone",3,310
64,0,436,642,"Midnight Cravings for Gajar ka Halwa 😍. Checked @ZomatoIN @swiggy_in @UberEats_IND, none deliver it 😭",0,101
65,0,283,281,Oh BC 😂 @zomatocare @Zomato @ZomatoIN https://t.co/Oi7lhHaEvV,0,61
66,3,478,678,"@zomatocare @HardikBatra92 @PrateekTeotia2 @ZomatoIN @Zomato @Temasek @deepigoyal @iitdelhi @iitdaa @jack Cracking whip on unhygienic &amp; violating eateries &amp;restaurants, 113 food establishments have been issued notices by the Food and Drug Administration (FDA) of Maharashtra . It has issued ""stop work"" notices to over a hundred outlets listed on Swiggy, Zomato, Foodpanda and Uber Eat https://t.co/0cDEHoVqEi",6,417
67,0,4,59,I think @Zomato @ZomatoIN @zomatocare is only good for hosting menus.. check menus there and order directly with restaurants since zomato doesn't solve any problems! New name for zomato should be - MenuWala,0,206
68,1,4,59,@SakshiAsudani @ZomatoIN @UberEats_IND @swiggy_in @Foodpand Their entire staff is incapable for handling easy situations... But they aren't trained or have the brains to do so...,0,178
70,0,4,59,"@zomatocare @Zomato Someone from your social media team called me and I don't think he even has the skill to talk... People like this will ruin things even further for you zomato. Untrained staff is not what I expect to interact with. Anyway, your company, your stupid staff!",0,275
71,0,35,193,@ZomatoIN even your social media sux! #zomatosux @UberEats_IND @swiggy_in @Foodpand this is super easy now...as is your deals are better than zomato and I'm sure there service will to be!! https://t.co/jOo9y0d17L,1,212
72,1,4,108,"@abhisusarla @zomatocare @ZomatoIN @UfterYou 😂😂😂😂
Dk what's happening to them. Pathetic!",1,88
77,0,1,20,@kaushalgupta88 @Zomato @ZomatoIN @zomatocare @fssaiindia @ndtv @ZeeNews @JPNadda Big concern. @zomatocare @ZomatoIN Please take action immediately. Seriously you should look into this asap.,0,190
78,1,21,64,"Hey @ZomatoIN, would you please care to tell me the ""policy changes"" that do not allow you to cancel orders and initiate refund when the restaurant is ready to help? @Zomato @zomatocare, really disappointed by your grievance handling. https://t.co/K8GgjCy0gq",0,258
79,0,35,193,@ZomatoIN @zomatocare what fucking shitty service yet again!! @swiggy_in @SwiggyCares @UberEats @UberEats_IND @foodpandaIndia this be a cake walk if zomato keeps delivering they way they do!! #zomatosux,0,202
80,0,1,5,@zomatocare @ZomatoIN @Zomato U people only can trouble me so I have stopped using Zomato. I tweeted just to aware rest of the people. Zomato is fraud,0,150
81,1,86,114,@zomatocare The below delivery guy couldn't speak even basic Kannada. You guys need to ensure that the delivery guys in #Karnataka can genuinely converse in #Kannada and not just fake it to keep their jobs. This is the 2nd time I have encountered this! #Zomato #Bengaluru https://t.co/5eBNwAKdKW,0,295
83,0,4,33,@zomatocare @Zomato Thanks @zomatocare for timely resolving my issue.,1,69
84,1,26,272,@ZomatoIN this is the response I get from your executive. Cheap https://t.co/UuXfYxpMM8,0,87
85,0,4,59,"@zomatocare @Zomato Here you go... 1020973049 None of your uneducated customer care executives are able to help with it. Again I don't want a refund, I want my complete order!",0,175
86,0,36,47,@zomatocare Check inbox,0,23
87,0,4,6,@zomatocare @ZomatoIN Order (id: 1180270544).. atleast initiate the refund asap.Also I want that rider to be punished or else I'll rant really good about you guys on FB+Instagram,0,178
88,0,36,47,@zomatocare why to approve order if you cannot process it?,0,58
89,0,283,281,"I was complaining to you for refund about 3 months ago @zomatocare @ZomatoIN
Remember me?
Now I'm happiest person to see that people of India now trolling you very badly!
This is the result of your carelessness!
Got it?
Pay well to your Service man so they buy food for themselves https://t.co/5TH3rhPo8L",0,304
91,0,19,72,"@zomatocare It's 1662516268
The deliver guy from 65-70 mins was only saying 1 thing that we I am reaching in 5 mins and after 10.30 he told in a abusive language that I am unable to deliver you can do whatever you want and your staff is also helpless as they are also saying what the guy said",0,292
92,0,1,5,"@ZomatoIN @zomatocare @zomato

Zomato is worst when it's comes to customer service. They only know how to fool the customers and force them to place the prepaid orders only so that Zomato  can block the customers money and eat interest out of that money, if restaurant cancels the order.",0,287
93,0,8,30,"@ZomatoIN unprofessional, near to mid night and delivering wrong food!!! No proper training given it seems.. They don't even check https://t.co/OfclmglY3r",0,154
97,0,39,71,@zomatocare @Zomato Please provide your support number. @Zomato #Zomato #zomatodelivery,0,87
101,0,4,6,@ZomatoIN I think delivery boys are following the trend of what happened in Madurai.A rider named Vinod 7304624746 didn't deliver my order.had guts to say that the order is delivered via mail which switches off his https://t.co/3WEjSd8HZG that we cannot track him.blocked on call https://t.co/Y7X6384hXd,0,303
102,0,8,61,"@SwiggyCares I need full refund for the amount, I have paid for the food and not for making you realise gaps in your delivery system and the mistakes you keep on making on each order.
Please provide me refund for both my orders asap. @swiggy_in @WokExpressIndia @ZomatoIN",0,271
103,0,292,779,@ZomatoIN My contact number is 7980164300.I ordered chicken steak from The greedy Owl restaurant in kolkata.They sent me fried rice and chilli chicken.The restaurant didnt pick up my call.zomato support didnt reply for long. Do I have to wait for you people fr food at night?,0,275
104,0,30,722,@zomatocare @ZomatoIN Thanks for your prompt response. Am also happy that you are not taking it lightly. Please make sure this doesn't happen to anybody.,0,153
105,0,19,72,"@zomatocare we ordered from burger club at 8.20 and your delivery guy didn't deliver the order till 10.20  ,moreover after 10.30 he said that I was unable to find the address go and collect your order yourself
He was using abusive language .",0,241
106,0,125,305,@kshitiz7gupta @LiveSrishti @Zomato @ZomatoIN @zomatocare @UberEats @UberFacts Lol 🙏,0,84
107,0,279,268,"Just had the #worst #online #food ordering experience ever. 
After2.5hours of waiting, they cancelled my order and offered me Rs50 to make up for it
@swiggy_in @SwiggyCares 

#boycottswiggy what do you think @ZomatoIN @foodpandaIndia

#stillhungry #whereismyfood #india #SpeakUp",0,278
108,0,83,243,"@Zomato @ZomatoIN @zomatocare you guys suck big time... Support is sleeping., No reply

@swiggy_in @SwiggyCares Swifty takes the cake in terms of timeliness and tracking.

1 hour to deliver a cold starter? Really Zomato?

#delivery #Swiggy #zomatodelivery #Zomato",0,263
109,0,19,370,@zomatocare @ZomatoIN 1485054639 I made two orders only one was delivered,0,73
110,0,19,370,@zomatocare @ZomatoIN Order no : 1541457642   it shows delivered on app but it was never delivered.,0,99
112,0,8,58,@swapnil_pandey_ @LiveSrishti @Zomato @ZomatoIN @zomatocare @UberEats @UberFacts Better watch #2point0.Gud night. 😴😴😎😎,0,118
114,0,39,71,"@Zomato @zomatocare Any update?
@Zomato @ZomatoIN @zomatocare",0,61
115,0,130,770,"Customer: Hello, Do you have delivery boys who are pure vegetarians?

@ZomatoIN call centre: Yes sir, what do you want to order?

Customer: Chicken Biryani !!!😜.

#wtsappwonderbox",0,179
117,0,6,73,@zomatocare #worst food https://t.co/4C7OPbSISA,0,47
118,0,39,71,@zomatocare @Zomato Please resolve. Because there's no point in making us wait for hours. Den denying,0,101
119,0,4,33,@ZomatoIN @zomatocare @Zomato  please help as this is the third issue,0,69
120,0,19,370,What is this @ZomatoIN  my order is cancelled and I am asked to reorder. The restaurant doesn't accept the order now my 1 hour is wasted at night. And look at your excellent chat support. I am starving like hell. https://t.co/Ic0vdp84SN,0,236
121,0,39,71,Order number 1141854608. Showing as delivered. But have not received. Plz help. Your restaurant partner is saying this is Zomato problem. And your worst customer support is not at all responding. @Zomato #zomatodelivery @zomatocare,0,231
122,0,79,816,"@zomatocare I have received my order, it was not hot at all, told this to the delivery guy, he refused to take it back. Talked with the support guy, told him to take back the order.
What to do now, throw the food and order again for eatable food?",0,246
124,1,88,417,I reviewed Second Wife Restaurant and rated it 3/5 on @ZomatoIN #LoveFood https://t.co/2vu3KtrIPk,0,97
126,0,5,3,@zomatocare  I ordered (order Id 1306704089) today though Zomato Restaurant Name The Kalika Hut Lucknow order showing confirmed but rider not deliver my order when i take to help to Zomato care or Restaurant they also not able to help me and i weast my Money.. https://t.co/C2uhBzJV2K,0,284
127,0,183,57,"@Zomato @ZomatoIN @zomatocare @fssaiindia @ndtv @ZeeNews @JPNadda

Zomato you are still not learning from your mistakes !! Delivery is lack of basic food security measures. This how I have received the order and customer care denied to callback !! ID 1679230928. NO FOOD SAFETY https://t.co/mnOXsS5JQE",0,301
128,1,156,259,"Make this guy HERO.

That was the delivery boy's fault not @ZomatoIN https://t.co/cM0P6Kc35Q",0,92
130,0,743,2042,@arajesh89 @ZomatoIN @Zomato @zomatocare @ZomatoSA @ZomatoQA @ZomatoLB All food in the hands of a hungry human; but nothing is for him - is a worst scenario that has a very deep negative psychological impact.,1,208
132,0,388,90,"@zomatocare Order from Kabab Magic.
Placed on 19th Dec at 10:00 PM.
Id: 1634878365
It's already been an hour since the order has been placed, I hope the delivery agent would've eaten my food by now.",0,198
133,0,7,65,"Placed on 19th Dec at 08:42 PM.
Id: 1475559070. My order was cancelled, I CALLED your agent within 2 minutes, he talked to me rudely, and even disconnected the call without listening to the address. And refused to deliver and my money hasn't been refunded
@ZomatoIN  @zomatocare",0,278
134,0,2706,244,I reviewed Food Xpress and rated it 3/5 on @ZomatoIN #LoveFood https://t.co/3lxkLnflXp,0,86
136,0,743,2042,"@arajesh89 @ZomatoIN @Zomato @zomatocare @ZomatoSA @ZomatoQA @ZomatoLB I am not justifying his act; but could empathise with his hunger as a fellow human; &amp; reason out, the ability of hunger to kill one's moral sense.",1,221
137,1,8271,1586,"@asaiatin @Batla_G @zomatocare They have ladies night every Wednesday.

Anyway, it is Zomato.

What else do you expect from the shittiest Indian company?",0,153
138,0,4939,151,".@ZomatoIN, pls feed Kaalu. 😂 https://t.co/Z9PNkMA0Of",0,53
139,0,113,140,"@zomatocare Please do, I am available",0,37
140,0,9,81,@SwiggyCares i regret not choosing @ZomatoIN @UberEats_IND  @foodpandaIndia.,0,76
141,0,2706,244,I reviewed Masala Art Cafe &amp; Restuatant and rated it 3/5 on @ZomatoIN #LoveFood https://t.co/eHwht2UHdb,0,107
142,0,62,295,@TejaswiPallerla @ZomatoIN Ninnu chustunte.... prapancham mottam neela manchitanam tho nindipothe baguntadi anipistndi...but other way around.... What he had done is a serious crime..... And to me firing him is the right thing.,0,227
143,0,98,206,@ZomatoIN @UberEats big market is open for you guys. I would be more than happy to shift to you guys if this is how they treat their regular customers.,0,151
144,0,388,90,"@zomatocare I ordered from a restaurant, got a call from an agent that he doesn't want to deliver as the location is too far, got a notification on Zomato that my food was delivered, contacted customer support, they didn't do anything regarding this. Such a disgrace.",0,267
146,0,30,722,@zomatocare FYI,0,15
148,0,26,239,@zomatocare @vasudevan49 Today is all zomato riders strike in Shahdara Delhi,0,76
150,0,447,515,Is it a coincidence that just a few days after we saw a @ZomatoIN delivery guy eating from a customer order we see a @swiggy_in delivery guy saving lives? In a world of fake news and PR we never know. Although it doesn’t take away from the selfless effort of the swiggy champ.,0,276
151,0,30,722,"@ZomatoIN Order number 1345503516, cockroach in food. I assume this wasn't part of the order. https://t.co/ExZmE7jHiu",0,117
152,0,12,30,"@Zomato @ZomatoIN
1- The prices on zomato is more than the actual price of the food.
2- They charge insanely high in the name of tax.
Thats how zomato is looting India.
Shame....!! https://t.co/x6MFiC83iY",0,204
153,0,9,81,"be patient everyone. @ZomatoIN  still provides better delivery experience than @swiggy_in @SwiggyCares. atleast they deliver and dnt ask you to order again and again, when you are hungry and its already been 90 minutes. really missed @foodpandaIndia and @UberEats_IND",0,267
154,0,0,12,@zomatocare @ZomatoIN And yes I can give you like 20 order IDs from the same restaurant having one issue or the other be it wrong order or delivery after 2 hours etc..same restaurant and yet you guys do nothing about it..,0,221
155,0,810,846,I reviewed Civil House By Hemant Oberoi and rated it 4/5 on @ZomatoIN #LoveFood https://t.co/Ohy1e0Vpxb,0,103
156,0,125,305,@kshitiz7gupta @LiveSrishti @Zomato @ZomatoIN @zomatocare @UberEats @UberFacts @kshitiz7gupta  hope you got my point.,0,117
157,0,0,12,@zomatocare @ZomatoIN Happened the same thing yesterday..they didn't provide raita or gravy..I let go yesterday...but it has happened again and this time with informing prior to the delivery...it's unacceptable,0,210
158,0,26,239,@zomatocare @wajidkh49672070 @ZomatoIN @Zomato Zomato all riders strike in Delhi Shahdara today,0,95
160,0,43,200,@ZomatoIN any help? Since @swiggy_in  couldn't care less for their hungry customers. https://t.co/CLic8pnTfo,0,108
162,0,0,12,@ZomatoIN for what did I put in effort to let you guys know what is my preference..and for what did you guys confirm me that it has been taken care of,0,150
163,0,12,30,"@ZomatoIN @Zomato
₹69 tax on a ₹280 order...please explain your taxation system. https://t.co/3uIiztaV1Y",0,104
164,0,13,292,@rishi2271 @Zomato @zomatocare @Zomato Contact 9953541667 or shubham.agg00@gmail.com for getting your own brand best quality adhesive tape.,0,139
165,0,480,96,@lovinglyYOURSS @zomatocare @deepigoyal Oh it's well documented! It's just that no one cares about data theft unless someone important like @rsprasad does.,0,155
166,0,0,12,@ZomatoIN so this is your service zomato..back to back blunders..you think customer is a joke to you...and to top it all you have a great assistance team..have a look..you have lost a customer..I think you are habituated of that now https://t.co/zHNsb0Gau6,0,256
167,0,173,355,@iPranjalSharma @ZomatoIN Only agree.. say something boy,0,56
168,0,15,44,"@zomatocare I got a call from Urvashi right now from customer support. Her resolution for an order delivered cold and after 90 mins (30 mins late) was ' I will share your feedback' . Wow Zomato, you rock at customer service! As for me I'm back to Swiggy who actually care about customers.",0,288
170,0,25,62,"@zomatocare At least the delivery boy should have made an attempt to deliver before cancelling the order. In case the customer cancels the order or is not available to take delivery of the order, then only the customer should be charged for cancellations.",0,255
171,0,222,455,@zomatocare I want my money back or I will report this clear case of defamation and fraud to the consumer forum. Your service and customer care has stooped to pathetic lows!,0,173
172,0,16,466,"@ZomatoIN you people just delivered me a non veg roll , i have ordered veg paneer roll. What the hell is that. You people hust made me  a non vegetarian.@TOIIndiaNews https://t.co/l6mnSS8Nia",0,190
173,0,139,262,@SwiggyCares @swiggy_in Ain't gonna renew my swiggy super membership coz it is not worth and it competitors are providing less delivery charge even without any membership. I hope you go down in the drainage soon. Long live  @ubereats and @ZomatoIN,1,247
174,1,8,58,@swapnil_pandey_ @LiveSrishti @Zomato @ZomatoIN @zomatocare @UberEats @UberFacts Ab zyada hogaya 😂😂 I wish the concerned lady get her issue resolved.,0,149
175,0,36,259,@SudIndus @ZomatoIN @Zomato LEAVE HIM ALONE https://t.co/nSljIRqxHG,0,67
